t=0 #37 disabled
t=0 #4 disabled
t=0 #5 disabled
t=0 #35 disabled
t=182 #6 disabled
t=182 #8 disabled
t=182 #24 disabled
t=182 #16 disabled
t=182 #40 disabled
t=390 #12 disabled
t=390 #19 disabled
t=390 #5 enabled
t=390 #2 disabled
t=390 #12 enabled
t=508 #49 disabled
t=508 #23 disabled
t=508 #11 disabled
t=508 #8 enabled
t=642 #10 disabled
t=642 #9 disabled
t=823 #7 disabled
t=823 #18 disabled
t=823 #32 disabled
t=823 #31 disabled
t=823 #9 enabled
t=986 #29 disabled
t=986 #6 enabled
t=986 #45 disabled
t=986 #21 disabled
t=986 #20 disabled
t=1044 #22 disabled
t=1044 #1 disabled
t=1044 #14 disabled
t=1044 #26 disabled
t=1044 #26 enabled
t=1201 #46 disabled
t=1201 #21 enabled
t=1201 #15 disabled
t=1286 #42 disabled
t=1286 #27 disabled
t=1286 #7 enabled
t=1433 #41 disabled
t=1433 #47 disabled
t=1433 #10 enabled
t=1559 #48 disabled
t=1764 #45 enabled
t=1764 #17 disabled
t=1764 #14 enabled
t=1844 #35 enabled
t=1844 #41 enabled
t=1844 #39 disabled
t=1844 #14 disabled
t=2041 #31 enabled
t=2041 #38 disabled
t=2041 #8 disabled
t=2127 #14 enabled
t=2127 #37 enabled
t=2127 #7 disabled
t=2189 #1 enabled
t=2189 #8 enabled
t=2189 #44 disabled
t=2189 #46 enabled
t=2385 #32 enabled
t=2385 #48 enabled
t=2385 #20 enabled
t=2583 #12 disabled
t=2583 #41 disabled
t=2583 #6 disabled
t=2583 #41 enabled
t=2765 #10 disabled
t=2765 #45 disabled
t=2765 #3 disabled
t=2999 #27 enabled
t=2999 #48 disabled
t=2999 #28 disabled
t=2999 #44 enabled
t=2999 #33 disabled
t=3075 #28 enabled
t=3075 #28 disabled
t=3320 #23 enabled
t=3320 #28 enabled
t=3320 #33 enabled
t=3471 #43 disabled
t=3471 #43 enabled
t=3471 #48 enabled
t=3471 #35 disabled
t=3471 #16 enabled
t=3647 #6 enabled
t=3647 #44 disabled
t=3647 #23 disabled
t=3647 #6 disabled
t=3647 #44 enabled
t=3758 #23 enabled
t=3916 #6 enabled
t=3916 #25 disabled
t=4148 #13 disabled
t=4148 #16 disabled
t=4148 #1 disabled
t=4319 #19 enabled
t=4505 #32 disabled
t=4505 #6 disabled
t=4566 #2 enabled
t=4566 #19 disabled
t=4566 #10 enabled
t=4671 #24 enabled
t=4671 #24 disabled
t=4671 #4 enabled
t=4671 #38 enabled
